1012.50,25.49,0.00,-0.03,-0.84,6303844
1012.70,25.50,0.00,-0.03,-0.81,6303944
1012.50,25.49,0.00,-0.03,-0.84,6304044
1012.90,25.49,0.00,-0.03,-0.81,6304144
1012.50,25.49,0.00,-0.03,-0.84,6304244
1012.60,25.50,0.00,-0.03,-0.84,6304344
1012.40,25.49,0.00,0.00,-0.84,6304445
1012.70,25.49,0.00,-0.03,-0.81,6304544
1012.40,25.50,0.00,-0.03,-0.81,6304644
1012.40,25.49,0.00,-0.03,-0.84,6304744
1012.30,25.50,0.00,-0.03,-0.84,6304844
1012.70,25.49,0.00,-0.03,-0.84,6304944
1012.50,25.50,0.00,-0.03,-0.84,6305044
1012.40,25.50,0.00,-0.03,-0.84,6305144
1012.30,25.50,0.00,-0.03,-0.84,6305244
1012.50,25.49,0.00,-0.03,-0.84,6305344
1012.70,25.49,0.00,-0.03,-0.81,6305445
1012.60,25.49,0.00,-0.03,-0.84,6305544
1012.30,25.50,0.00,-0.03,-0.84,6305644
1012.40,25.49,0.00,-0.03,-0.84,6305746
1012.00,25.50,0.00,-0.03,-0.81,6305845
1013.00,25.49,0.00,-0.03,-0.81,6305945
1012.70,25.49,0.00,-0.03,-0.84,6306045
1012.30,25.50,0.00,-0.03,-0.84,6306145
1012.40,25.50,0.00,-0.03,-0.84,6306245
1012.60,25.49,0.00,-0.03,-0.84,6306345
1012.50,25.49,0.00,0.00,-0.84,6306446
1012.50,25.49,0.00,-0.03,-0.81,6306545
1012.60,25.50,0.00,-0.03,-0.84,6306645
1012.50,25.50,0.00,-0.03,-0.84,6306745
1012.50,25.50,0.00,-0.03,-0.84,6306845
1012.10,25.50,0.00,-0.03,-0.81,6306945
1012.60,25.49,0.00,-0.03,-0.84,6307045
1012.30,25.49,0.00,-0.03,-0.81,6307145
1012.30,25.49,0.00,-0.03,-0.84,6307245
1012.40,25.50,0.00,-0.03,-0.84,6307345
1012.40,25.49,0.00,-0.03,-0.84,6307445
1012.50,25.50,0.00,-0.03,-0.81,6307545
1012.40,25.50,0.00,0.00,-0.84,6307645
1012.20,25.49,0.00,-0.03,-0.81,6307747
1012.10,25.49,0.00,-0.03,-0.81,6307846
1011.90,25.49,0.00,-0.03,-0.84,6307946
1012.40,25.49,0.00,-0.03,-0.84,6308046
1012.30,25.49,0.00,-0.03,-0.84,6308146
1012.20,25.50,-0.03,-0.03,-0.84,6308246
1012.20,25.49,0.00,-0.03,-0.84,6308346
1013.00,25.49,0.00,-0.03,-0.84,6308447
1012.20,25.49,0.00,-0.03,-0.81,6308546
1012.50,25.50,0.00,-0.03,-0.84,6308646
1012.20,25.50,0.00,-0.03,-0.81,6308746
1012.10,25.50,0.00,-0.03,-0.84,6308846
1012.40,25.50,0.00,-0.03,-0.84,6308946
1012.70,25.50,0.00,-0.03,-0.84,6309046
1012.20,25.49,0.00,-0.03,-0.84,6309146
1012.20,25.49,0.00,-0.03,-0.81,6309246
1012.50,25.49,0.00,-0.03,-0.84,6309346
1012.40,25.49,0.00,-0.03,-0.84,6309447
1012.90,25.50,0.00,-0.03,-0.84,6309546
1012.80,25.50,0.00,-0.03,-0.84,6309646
1012.10,25.49,0.00,-0.03,-0.84,6309748
